"ID_LUID","x","y","Area.1000ha"
257,-53,73,36.29
258,-29,73,93.09
259,-27,73,315.57
260,-25,73,730.44
261,-23,73,937.18
262,-21,73,293.15
263,51,73,15.74
264,53,73,551.17
265,55,73,1195.9
266,57,73,377.12
267,69,73,347.98
268,71,73,779.02
269,73,73,202.71
270,75,73,193.46
271,77,73,109.87
272,79,73,315.24
273,81,73,577.92
274,83,73,1125.19
275,85,73,1236.92
276,87,73,1303.69
277,89,73,1429.31
278,91,73,1441.79
279,93,73,1446.64
280,95,73,1449.15
281,97,73,1446.72
282,99,73,1389.36
283,101,73,1389.51
284,103,73,1404.463713
285,105,73,1375.02
286,107,73,1170.32
287,109,73,1079.65
288,111,73,1331.13573
289,113,73,1143.26
290,115,73,1186.63
291,117,73,1186.62
292,119,73,878.2
293,121,73,699.23
294,123,73,746.99
295,125,73,1145.41
296,127,73,866.23
297,129,73,467.35
298,137,73,7.22
299,139,73,88.9
300,141,73,697.08
301,143,73,774.31
302,145,73,339.42
303,147,73,243.96
304,149,73,149.55
305,-179,71,440.52
306,-177,71,47.02
307,-163,71,20.36
308,-161,71,296.31
309,-159,71,642.86
310,-157,71,884.26
311,-155,71,730.04
312,-153,71,563.21
313,-151,71,328.59
314,-149,71,319.87
315,-147,71,142.49
316,-145,71,17.44
317,-143,71,37.8
318,-131,71,23.26
319,-129,71,49.43
320,-127,71,116.32
321,-125,71,54.1
322,-123,71,551.76
323,-121,71,337.73
324,-119,71,143.52
325,-117,71,849.87
326,-115,71,1125.9
327,-113,71,1166.2
328,-111,71,1518.81
329,-109,71,1517.64
330,-107,71,1528.41
331,-105,71,1312.54
332,-103,71,394.63
333,-101,71,89.71
334,-99,71,349.07
335,-97,71,365.02
336,-95,71,1356.09
337,-93,71,841.25
338,-91,71,34.9
339,-89,71,478.73
340,-87,71,1150.37
341,-85,71,1266.29
342,-83,71,1564.25
343,-81,71,1432.39
344,-79,71,1309.65
345,-77,71,1424.67
346,-75,71,1120.75
347,-73,71,705.77
348,-71,71,446.29
349,-69,71,328.32
350,-67,71,40.72
351,-55,71,525.01
352,-53,71,469.91
353,-51,71,294.95
354,-29,71,86.65
355,-27,71,273.77
356,-25,71,330.6
357,-23,71,999.42
358,-21,71,44.75
359,19,71,34.88653
360,21,71,72.69145
361,23,71,320.99991
362,25,71,544.10697
363,27,71,616.644377
364,29,71,561.80039
365,31,71,144.919177
366,51,71,86.25
367,53,71,505.54
368,55,71,910.68
369,57,71,200.38
370,59,71,148.3
371,61,71,2.91
372,67,71,498.72
373,69,71,1522.05
374,71,71,1564.86
375,73,71,552.45
376,75,71,1324.68
377,77,71,1282.03
378,79,71,1530.58
379,81,71,1503.1
380,83,71,891.111362
381,85,71,1613.68
382,87,71,1602.01
383,89,71,1610.83
384,91,71,1613.62
385,93,71,1613.64
386,95,71,1579.69
387,97,71,1588.12
388,99,71,1577.85
389,101,71,1592.08
390,103,71,1564.25
391,105,71,1613.64
392,107,71,1613.67
393,109,71,1613.69
394,111,71,1613.62
395,113,71,1613.66
396,115,71,1613.66
397,117,71,1613.66
398,119,71,1613.65
399,121,71,1613.6
400,123,71,1613.65
401,125,71,1599.1
402,127,71,1516.03
403,129,71,1331.45
404,131,71,738.99
405,133,71,1275.89
406,135,71,1194.44
407,137,71,1205.03
408,139,71,1262.61
409,141,71,1613.64
410,143,71,1602.883895
411,145,71,1502.95
412,147,71,1594.77
413,149,71,1543.642355
414,151,71,1122.81
415,153,71,705.22
416,155,71,804.52
417,157,71,874.25
418,159,71,650.82
419,161,71,17.23
420,171,71,26.17
421,179,71,228.38
422,-179,69,642.94
423,-177,69,102.03
424,-167,69,85.41
425,-165,69,770.51
426,-163,69,1412.76
427,-161,69,1776.23
428,-159,69,1776.2
429,-157,69,1776.21
430,-155,69,1770.05
431,-153,69,1751.85
432,-151,69,1761.17
433,-149,69,1776.26
434,-147,69,1776.29
435,-145,69,1767.33
436,-143,69,1737.53
437,-141,69,1466.46
438,-139,69,1267.49
439,-137,69,839.43
440,-135,69,1032.5
441,-133,69,1166.01
442,-131,69,1514.9
443,-129,69,1633.27
444,-127,69,1626.91
445,-125,69,1353.38
446,-123,69,1440.77
447,-121,69,1442.08
448,-119,69,1091.25
449,-117,69,1006.22
450,-115,69,1201.34
451,-113,69,1121.61
452,-111,69,1198.52
453,-109,69,1029.17
454,-107,69,1012.9
455,-105,69,1056.97
456,-103,69,723.81
457,-101,69,134.94
458,-99,69,375.66
459,-97,69,1010.59
460,-95,69,554.15
461,-93,69,1496.29
462,-91,69,973.04
463,-89,69,746.09
464,-87,69,3.11
465,-85,69,1066.53
466,-83,69,1182.2
467,-81,69,177.53
468,-79,69,93.04
469,-77,69,382
470,-75,69,1028.81
471,-73,69,1257.88
472,-71,69,1667.5
473,-69,69,1091.48
474,-67,69,291.54
475,-65,69,6.37
476,-55,69,152.15
477,-53,69,564.18
478,-51,69,656.22
479,-23,69,11.92
480,13,69,51.014
481,15,69,344.745336
482,17,69,775.60832
483,19,69,1441.407416
484,21,69,1632.809531
485,23,69,1764.164347
486,25,69,1770.384297
487,27,69,1670.915671
488,29,69,1632.904241
489,31,69,1524.561633
490,33,69,1316.848435
491,35,69,1087.54
492,37,69,776.68
493,39,69,200.91
494,43,69,34.460979
495,45,69,401.77
496,47,69,51.013578
497,49,69,433.11
498,51,69,333.69
499,53,69,563.46
500,55,69,343.46
501,57,69,555.87
502,59,69,710.22
503,61,69,1290.01
504,63,69,1502.28
505,65,69,1161.26
506,67,69,907.63
507,69,69,1448.33
508,71,69,1749.37
509,73,69,801.99
510,75,69,1246.4
511,77,69,1331.37
512,79,69,1766.61
513,81,69,1776.25
514,83,69,1719.61
515,85,69,1679.85
516,87,69,1641.861272
517,89,69,1683.35
518,91,69,1625.67
519,93,69,1763.56
520,95,69,1776.23
521,97,69,1776.24
522,99,69,1776.21
523,101,69,1776.27
524,103,69,1776.21
525,105,69,1776.23
526,107,69,1776.28
527,109,69,1776.21
528,111,69,1776.26
529,113,69,1776.24
530,115,69,1776.21
531,117,69,1776.26
532,119,69,1776.23
533,121,69,1776.21
534,123,69,1706.54
535,125,69,1712.64
536,127,69,1776.29
537,129,69,1776.15
538,131,69,1776.22
539,133,69,1776.24
540,135,69,1776.25
541,137,69,1776.28
542,139,69,1776.18
543,141,69,1776.23
544,143,69,1776.25
545,145,69,1776.18
546,147,69,1757.99
547,149,69,1776.27
548,151,69,1776.26
549,153,69,1776.25191
550,155,69,1776.194185
551,157,69,1776.24
552,159,69,1746.42
553,161,69,1339.376459
554,163,69,1469.532126
555,165,69,1439.66
556,167,69,1412.9
557,169,69,1176.59
558,171,69,1374.92
559,173,69,1674.92
560,175,69,1636.26
561,177,69,1472.37
562,179,69,1139.91
563,-179,67,1798.04
564,-177,67,1868.24
565,-175,67,1081.25
566,-173,67,895.31
567,-171,67,531.24
568,-169,67,24.26
569,-167,67,41.59
570,-165,67,497.5
571,-163,67,939.14
572,-161,67,1569.24
573,-159,67,1902.38
574,-157,67,1936.73
575,-155,67,1936.64
576,-153,67,1936.57
577,-151,67,1936.66
578,-149,67,1929.71
579,-147,67,1926.31
580,-145,67,1895.36
581,-143,67,1936.6
582,-141,67,1936.61
583,-139,67,1936.64
584,-137,67,1936.69
585,-135,67,1904.07
586,-133,67,1900.07
587,-131,67,1863.37
588,-129,67,1902.16
589,-127,67,1812.59
590,-125,67,1680.79
591,-123,67,1598.7
592,-121,67,1160.96
593,-119,67,1477.61
594,-117,67,1867.72
595,-115,67,1782.91
596,-113,67,1579.11
597,-111,67,1770.47
598,-109,67,1517.63
599,-107,67,1688.97
600,-105,67,1936.67
601,-103,67,1750.38
602,-101,67,1508.28
603,-99,67,1579.77
604,-97,67,1525.82
605,-95,67,1679.3
606,-93,67,1926.26
607,-91,67,1933.24
608,-89,67,1863.28
609,-87,67,1357.35
610,-85,67,1468.1
611,-83,67,1311.37
612,-81,67,211.86
613,-77,67,257.89
614,-75,67,259.16
615,-73,67,958.05
616,-71,67,1504.57
617,-69,67,1749.69
618,-67,67,1153.47
619,-65,67,993.75
620,-63,67,636.45
621,-61,67,92.41
622,-53,67,1116.97
623,-51,67,1489.84
624,-49,67,176.35
625,-23,67,155.99
626,-21,67,27.72
627,-19,67,79.71
628,-17,67,183.67
629,-15,67,128.23
630,13,67,326.78085
631,15,67,1432.746624
632,17,67,1821.248013
633,19,67,1840.21485
634,21,67,1930.09271
635,23,67,1936.63799
636,25,67,1916.150934
637,27,67,1881.76612
638,29,67,1898.659775
639,31,67,1796.407574
640,33,67,1467.79768
641,35,67,1336.95
642,37,67,1666.67
643,39,67,1784.16
644,41,67,788.1
645,43,67,387.3
646,45,67,1375.38
647,47,67,968.02
648,49,67,1730.76
649,51,67,1933.32
650,53,67,1806.37
651,55,67,1919.28
652,57,67,1915.84
653,59,67,1936.655906
654,61,67,1936.63
655,63,67,1936.58
656,65,67,1915.86
657,67,67,1888.69
658,69,67,1779.95
659,71,67,1510.09
660,73,67,931.63
661,75,67,1750.63
662,77,67,1815.67
663,79,67,1851.72
664,81,67,1936.6
665,83,67,1936.69
666,85,67,1936.62
667,87,67,1798.2
668,89,67,1936.63
669,91,67,1936.66
670,93,67,1936.65
671,95,67,1936.63
672,97,67,1936.69
673,99,67,1936.59
674,101,67,1936.6
675,103,67,1936.61
676,105,67,1936.65
677,107,67,1936.68
678,109,67,1936.63
679,111,67,1936.73
680,113,67,1936.63
681,115,67,1936.68
682,117,67,1936.67
683,119,67,1936.68
684,121,67,1936.63
685,123,67,1936.65
686,125,67,1936.71
687,127,67,1936.58
688,129,67,1936.61
689,131,67,1936.57
690,133,67,1936.719816
691,135,67,1936.67
692,137,67,1936.64
693,139,67,1936.64
694,141,67,1936.63
695,143,67,1936.69
696,145,67,1936.56
697,147,67,1936.61
698,149,67,1936.69
699,151,67,1936.68
700,153,67,1936.66
701,155,67,1936.62
702,157,67,1936.66145
703,159,67,1936.6
