"G","frac"
9566,0.10387818576166
9567,0.171786296204808
9568,0.139720311298474
9569,0.109339803406458
9570,0.0771885160443032
9571,0.100347278914958
9572,0.110332184904599
9573,0.0213240019014966
9574,0.0323272168912484
9575,0.157476099458388
9576,0.214412981638293
9577,0.146350264735597
9578,0.0931841912315008
9579,0.203756310279922
9580,0.214412981638293
9581,0.162724462745172
9582,0.0430905168453297
9583,0.00718441830962671
10285,0.0562868573900494
10286,0.503122148731453
10287,0.719372809697769
10288,0.767580734080395
10289,0.853225667619209
10290,0.992926536233793
10291,1
10292,0.98487874253832
10293,0.786301822731373
10294,0.835456964275057
10295,0.907859291168819
10296,0.998256440368931
10297,0.983199706080655
10298,0.903823293512222
10299,0.972812736024301
10300,1
10301,0.98992578125401
10302,1
10303,0.937022005465765
10304,0.892559597002587
10305,0.676691258669117
10306,0.379400820485365
10307,0.214690977117666
10308,0.0288514099948006
11006,0.139185731683919
11007,1
11008,1
11009,1
11010,1
11011,1
11012,1
11013,1
11014,1
11015,1
11016,1
11017,1
11018,1
11019,1
11020,1
11021,1
11022,1
11023,1
11024,1
11025,1
11026,0.984845886745726
11027,0.844527175760796
11028,0.752567654625031
11029,0.670328875908523
11030,0.587644717014087
11031,0.504515221669104
11032,0.420940433836624
11033,0.33692039771514
11034,0.188758449188529
11035,0.0339716172434585
11722,0.00177311549249365
11723,0.197103002487011
11724,0.352240573973858
11725,0.481414109528896
11726,0.66575679972642
11727,1
11728,1
11729,1
11730,1
11731,1
11732,1
11733,1
11734,1
11735,1
11736,1
11737,1
11738,1
11739,1
11740,1
11741,1
11742,0.987766644526756
11743,0.927550360786514
11744,0.916424233593276
11745,0.923690758981575
11746,0.914994902857541
11747,0.851040915271595
11748,0.74975142608266
11749,0.663743605465024
11750,0.539589072153682
11751,0.532527064719506
11752,0.492689999736298
11753,0.355978740646104
11754,0.234136159963973
11755,0.103152943028994
12443,0.0456915340650209
12444,0.289388201642525
12445,0.304744556116224
12446,0.319384257750997
12447,0.469386566452351
12448,0.548566910356075
12449,0.590414161856528
12450,0.618356073157135
12451,0.618356073157135
12452,0.618356073157135
12453,0.618356073157135
12454,0.639361715449774
12455,0.660367357742414
12456,0.660367357742414
12457,0.660367357742414
12458,0.660367357742414
12459,0.660367357742414
12460,0.6533654769782
12461,0.611386998271044
12462,0.498168263042439
12463,0.428813835268952
12464,0.327065902946876
12465,0.21735324224822
12466,0.118529144398681
12467,0.0168893517268476
16225,0.0102389176694358
16226,0.00512104677573037
16228,0.0878179015397068
16229,0.621478478418013
16230,0.740342091503146
16231,0.807271339182733
16232,0.689402875131285
16233,0.0353695059845314
16234,0.239969654474725
16235,0.222481553011963
16236,0.0954887840183476
16946,0.128120513442309
16947,0.33086214478096
16948,0.390534796373673
16949,0.449707641861171
16950,0.30114527691493
16951,0.155307249117997
16952,0.132744222934407
16953,0.0691166528826496
16954,0.311898977747962
16955,0.527770667505425
16956,0.498753093528206
16957,0.0363203421126997
17597,0.0123809494601387
17598,0.205792332601921
17670,0.0806054987672751
17671,0.00175791602125412
17677,0.132073211006248
17678,0.00876633271984314
18316,0.173265775860213
18317,0.513027005455645
18318,0.0255854108365502
18397,0.034102712462329
18551,0.00530455250121568
18552,0.120041407652245
18553,0.271057062384876
18554,0.0757392189525121
18877,0.0333707998506667
18878,0.182247301634766
18879,0.307893468231002
18880,0.319655359350012
18881,0.303897648283076
18882,0.269108302727582
18883,0.241193730937773
19036,0.101364844938882
19037,0.180416312103273
19268,0.00703290490874015
19269,0.33508359952786
19270,0.502879057573953
19271,0.5159285142373
19272,0.793803076224579
19273,0.672471354041969
19274,0.323582037183849
19275,0.459457796182052
19276,0.567228263752437
19277,0.24862517895394
19278,0.00172136815975028
19282,0.00883198050699313
19283,0.102364192661975
19284,0.0335529551723399
19377,0.00350171623520178
19378,0.125710710704504
19379,0.101075397412292
19592,0.248277210026511
19593,0.444078750015661
19594,0.538076466027424
19595,0.512141577842351
19596,0.131081513180594
19597,0.713829708278727
19598,0.904006156749684
19599,1
19600,1
19601,1
19602,1
19603,0.915304946874188
19642,0.0915931656952069
19643,0.0562880956129852
19989,0.0685206768832604
19990,0.444498369895994
19991,0.50748362170575
19992,0.379425962675328
19993,0.48255744272602
19994,0.551948799710512
19995,0.172365260420218
19998,0.0539859891253464
19999,0.468608660481309
20000,0.415143453249833
20001,0.105649600270052
20002,0.320447305436465
20003,0.490394411161238
20004,0.621326920028119
20005,0.562510001587805
20006,0.542433493848105
20007,0.516865910754696
20008,0.282614867419485
20077,0.186599289785311
20078,0.393109082231179
20079,0.146200549069845
20081,0.00345933285400062
20082,0.0158249024596186
20083,0.119688209303116
20084,0.184807748934993
20085,0.00529730668224926
20106,0.0770081239613113
20313,0.171689544326112
20314,0.302689426778768
20315,0.569710309138899
20316,0.678768752252855
20317,0.629082230675002
20318,0.702562412999949
20319,0.748591130656812
20320,0.683829230020791
20321,0.789342902362767
20322,0.894444216516115
20323,0.492387752196198
20324,0.566838149612677
20325,0.491905478739293
20326,0.0788396196190021
20361,0.0498836636484427
20362,0.221431404818948
20363,0.0172318818773442
20480,0.236396891061687
20481,0.563206304961933
20482,0.196025301382023
20719,0.0483999451558093
20720,0.424704311484078
20721,0.169534259832091
20722,0.0957552943354614
20792,0.404209618697606
20793,0.0525953680888562
20795,0.346138749538546
20796,0.937949899064432
20797,1
20798,1
20799,1
20800,0.90402083686847
20801,0.576851649756162
20802,0.355272374722761
20803,0.984274304804586
20804,1
20805,0.642329240491524
20806,0.281590892671077
20807,0.613092609529151
20808,0.677369855544145
20809,0.495533797387263
20810,0.331819438234775
20811,0.114448818385622
20813,0.0299350995656812
20814,0.0581477294496389
20825,0.00347471879426091
21046,0.0240177862668726
21200,0.37523041466503
21201,0.746905123843851
21202,0.268860064550878
21449,0.133176840069916
21450,0.490227964880861
21451,0.547513817062051
21452,0.545781297305753
21453,0.545781297305753
21454,0.545781297305753
21455,0.51628290066606
21456,0.0787783934334617
21511,0.00686770921908204
21512,0.21429313701019
21513,0.00171332785617179
21514,0.0242216980507187
21515,0.567173066511366
21516,0.991181623724304
21517,1
21518,1
21519,1
21520,1
21521,1
21522,1
21523,1
21524,1
21525,0.72126294031724
21526,0.634783267663995
21527,0.885741986824729
21528,0.890788664243355
21529,0.908377511198713
21530,0.48176999779818
21531,0.0102535658937911
21533,0.318250821796553
21534,0.605729829458036
21535,0.701015076601828
21536,0.837334667904575
21537,0.782285048072667
21538,0.429249279183463
21539,0.490244748536334
21540,0.450257723241824
21541,0.31942449867843
21542,0.14053825547974
21778,0.080453957376374
21920,0.0965892350416024
21921,0.210808098927037
21922,0.0597755009851714
22169,0.00341894718997623
22170,0.342268487020414
22171,0.84020930866546
22172,1
22173,1
22174,1
22175,1
22176,0.193017545656717
22236,0.0908431373062914
22237,0.470032383623621
22238,0.589925127090321
22239,0.666652255417707
22240,0.163041904860736
22241,0.345358518794488
22242,0.247014778632684
22243,0.171322843278558
22244,0.0667575497172781
22245,0.257769820146681
22246,0.28155415141302
22247,0.221182642512157
22248,0.0548399048266078
22255,0.0222231567348455
22256,0.159414450107112
22257,0.435321628656602
22258,0.522057987426017
22259,0.527269810377457
22260,0.487370389689525
22261,0.336699932410339
22262,0.0892240469204444
22438,0.436094160027001
22439,0.797583677056051
22440,0.607826609125356
22441,0.498644901554807
22442,0.369335512490917
22443,0.294307645219192
22444,0.528153287659251
22445,0.236587323838522
22500,0.0545410822134504
22501,0.022870407846695
22640,0.0359735961942584
22641,0.0582531013322849
