"G","frac"
14587,0.0281129299801978
15299,0.0283096776480449
15312,0.0274585982313094
15313,0.0276714563398395
15316,0.0276714563398395
16016,0.0278794115539379
16028,0.02767630069814
16032,0.02767630069814
16735,0.027292089486707
16753,0.027874974402656
17471,0.0280569125580901
18228,0.0275099757290759
18567,0.0273313110790943
19287,0.0280351642158232
19288,0.0276920671152254
19291,0.0275204305138099
19294,0.0276920671152254
20013,0.0278604092895081
20015,0.0275301380490473
20476,0.0281753798670947
20710,0.0273799798178456
20727,0.0276983159528614
20728,0.0273799798178456
20729,0.0280164177161098
20733,0.0275391770135189
20734,0.0273799798178456
20736,0.0281753798670947
21423,0.0277011287564927
21442,0.0280079793111656
21447,0.0278545834956066
22147,0.0280000823732924
22150,0.0280000823732924
22151,0.0281481543341184
22157,0.0281481543341184
22161,0.0551109664217944
22163,0.0278519511811188
22629,0.0275629194166122
22635,0.0274195504338515
22638,0.0277062300928103
22865,0.0274195504338515
22869,0.0281358092510919
23355,0.0278471613498731
23577,0.0278471613498731
23585,0.0275698818399302
23587,0.0274311544563908
23588,0.055001036296321
23888,0.0274420838175326
24676,0.0209919157061829
24678,0.0278429127883324
25006,0.0275826275155643
25406,0.00348997734183179
25456,0.0280932129350882
25809,0.0277147493740262
26174,0.0275940164748457
26175,0.0274713787911766
26176,0.056167961787544
26854,0.05579357189402
26855,0.0279563246551221
26896,0.110992288704256
26897,0.0559125901714767
27534,0.0278357018484339
27574,0.0274884518423711
27575,0.02772001040366
27616,0.0274884518423711
27668,0.0279513344096009
27766,0.0280669078425743
27776,0.0280669078425743
28302,0.0276090072347644
28642,0.0277215927096909
28643,0.0276090072347644
28699,0.0274963633557986
29202,0.0279420658645208
29362,0.0279420658645208
29774,0.0277245374730457
29919,0.0551289286600086
29922,0.0278311747790444
30064,0.0225203534777715
30068,0.0279377532110396
30069,0.0551289286600086
30070,0.0277245374730457
30073,0.0280442725435284
30075,0.0555555947296338
30138,0.0280442725435284
30139,0.0276178415185942
30431,0.0280374084698969
30464,0.0278298019614088
30632,0.0280374084698969
30637,0.024346208402047
30638,0.0645324207966851
30783,0.0280374084698969
30797,0.027725910290677
30947,0.0279336347610399
30950,0.0280374084698969
30956,0.0279336347610399
31178,0.027727222845586
31185,0.0276258976305354
31186,0.06282600707419
31351,0.0275245139757277
31353,0.0275245139757277
31355,0.0279296970990927
31357,0.0556569199446787
31502,0.0278284894065001
31511,0.0278284894065001
31517,0.0280308457092249
31574,0.0280308457092249
31602,0.0276258976305354
31666,0.0276258976305354
31677,0.0276258976305354
32066,0.0276296667146204
32075,0.0276296667146204
32076,0.0276296667146204
32236,0.0276296667146204
32316,0.0278272330442577
32318,0.0275307957736464
32374,0.0279259280150152
32385,0.0278272330442577
32402,0.0278260291622474
32406,0.0280185445139254
32791,0.0276332783581281
32793,0.0275368151710184
32794,0.0279223163715005
32795,0.0275368151710184
32939,0.0280185445139254
32944,0.0278260291622474
32953,0.0278260291622474
32956,0.027729683089847
32957,0.0275368151710184
32958,0.0279223163715005
33092,0.0278260291622474
33113,0.0276332783581281
33116,0.0279223163715005
33118,0.0278260291622474
33351,0.0280127705507561
33357,0.0279188519887139
33509,0.0275425891341902
33512,0.0560255411015122
33513,0.0277308378849219
33514,0.0275425891341902
33841,0.0279155255434895
