ID_LUID,x,y,YEAR,share.CrpLnd,share.GrsLnd,share.NatLnd,share.MngFor,share.PriFor,share.OagLnd,share.WetLnd,share.NotRel,share.RstLnd,Area.1000ha
15,-61,83,2000,0,0,0,0,0,0,0,1,0,39.44
15,-61,83,2010,0,0,0,0,0,0,0,1,0,39.44
15,-61,83,2020,0,0,0,0,0,0,0,1,0,39.44
15,-61,83,2030,0,0,0,0,0,0,0,1,0,39.44
15,-61,83,2040,0,0,0,0,0,0,0,1,0,39.44
15,-61,83,2050,0,0,0,0,0,0,0,1,0,39.44
16,-59,83,2000,0,0,0.381338742,0,0,0,0,0.618661258,0,19.72
16,-59,83,2010,0,0,0.381338742,0,0,0,0,0.618661258,0,19.72
16,-59,83,2020,0,0,0.381338742,0,0,0,0,0.618661258,0,19.72
16,-59,83,2030,0,0,0.381338742,0,0,0,0,0.618661258,0,19.72
16,-59,83,2040,0,0,0.381338742,0,0,0,0,0.618661258,0,19.72
16,-59,83,2050,0,0,0.381338742,0,0,0,0,0.618661258,0,19.72
17,-57,83,2000,0,0,0.493730408,0,0,0,0,0.506269592,0,38.28
17,-57,83,2010,0,0,0.493730408,0,0,0,0,0.506269592,0,38.28
17,-57,83,2020,0,0,0.493730408,0,0,0,0,0.506269592,0,38.28
17,-57,83,2030,0,0,0.493730408,0,0,0,0,0.506269592,0,38.28
17,-57,83,2040,0,0,0.493730408,0,0,0,0,0.506269592,0,38.28
17,-57,83,2050,0,0,0.493730408,0,0,0,0,0.506269592,0,38.28
18,-55,83,2000,0,0,0.486922925,0,0,0,0,0.513077075,0,100.94
18,-55,83,2010,0,0,0.486922925,0,0,0,0,0.513077075,0,100.94
18,-55,83,2020,0,0,0.486922925,0,0,0,0,0.513077075,0,100.94
18,-55,83,2030,0,0,0.486922925,0,0,0,0,0.513077075,0,100.94
18,-55,83,2040,0,0,0.486922925,0,0,0,0,0.513077075,0,100.94
18,-55,83,2050,0,0,0.486922925,0,0,0,0,0.513077075,0,100.94
19,-53,83,2000,0,0,0.201573623,0,0,0,0,0.798426377,0,53.38
19,-53,83,2010,0,0,0.201573623,0,0,0,0,0.798426377,0,53.38
19,-53,83,2020,0,0,0.201573623,0,0,0,0,0.798426377,0,53.38
19,-53,83,2030,0,0,0.201573623,0,0,0,0,0.798426377,0,53.38
19,-53,83,2040,0,0,0.201573623,0,0,0,0,0.798426377,0,53.38
19,-53,83,2050,0,0,0.201573623,0,0,0,0,0.798426377,0,53.38
20,-51,83,2000,0,0,0.501823003,0,0,0,0,0.498176997,0,30.17
20,-51,83,2010,0,0,0.501823003,0,0,0,0,0.498176997,0,30.17
20,-51,83,2020,0,0,0.501823003,0,0,0,0,0.498176997,0,30.17
20,-51,83,2030,0,0,0.501823003,0,0,0,0,0.498176997,0,30.17
20,-51,83,2040,0,0,0.501823003,0,0,0,0,0.498176997,0,30.17
