Model,Scenario,Region,Variable,Year,Unit,Value
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2020,unitless,0.943693066395961
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2020,unitless,1.04505700703295
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2020,unitless,1.00786686746924
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2020,unitless,1.27006714591981
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2030,unitless,1.00610238787972
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2030,unitless,1.22548558978968
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2030,unitless,1.13907710623688
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2030,unitless,1.44736592646162
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2030,unitless,1.09472855639178
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2030,unitless,1.0289219993166
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2030,unitless,1.1838877667221
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2030,unitless,0.998345521795101
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2030,unitless,1.09346461213529
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2030,unitless,1.49056194008202
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2030,unitless,1.44636862586371
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2030,unitless,1.26392212015748
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2030,unitless,0.934556741016798
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2030,unitless,1.44864459104098
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2030,unitless,1.51786368590465
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2030,unitless,1.25240735180573
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2030,unitless,0.985810817490068
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2030,unitless,1.12096225320528
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2030,unitless,1.37322112205877
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2040,unitless,1.31782994650427
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2040,unitless,2.06934988940577
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2040,unitless,1.25526493726929
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2040,unitless,1.16082960763421
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2040,unitless,1.58903431479185
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2040,unitless,1.73898089346968
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2040,unitless,1.07067481519872
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2040,unitless,1.00244422591801
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2040,unitless,1.75644116367605
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2040,unitless,0.960424372105716
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2040,unitless,1.35184772808762
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2040,unitless,1.02933502076862
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2040,unitless,1.11370559174329
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2040,unitless,1.79707554385642
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2040,unitless,1.17055670368178
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2040,unitless,1.01773197443113
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2040,unitless,1.32901917712269
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2040,unitless,1.20713754775971
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2040,unitless,1.75741868271479
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2050,unitless,1.31279365038254
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2050,unitless,2.32038829253785
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2050,unitless,1.26203003190955
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2050,unitless,1.2239582619424
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2050,unitless,1.63246192437227
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2050,unitless,1.80067045066492
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2050,unitless,1.09782037253196
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2050,unitless,0.999993625417533
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2050,unitless,1.86677941141735
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2050,unitless,0.966176998153094
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2050,unitless,1.36883678180192
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2050,unitless,1.04529633657375
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2050,unitless,1.12852419404011
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2050,unitless,1.99412968479171
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2050,unitless,1.22067679968402
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2050,unitless,1.02127459797697
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2050,unitless,1.36507196310516
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2050,unitless,1.23063476350295
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2050,unitless,1.81676835822006
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2060,unitless,1.24078837782786
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2060,unitless,1.23754383701823
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2060,unitless,1.64450744901787
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2060,unitless,1.85914806775103
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2060,unitless,1.85346602245567
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2060,unitless,1.12158357279641
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2060,unitless,0.992195377173372
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2060,unitless,1.14207300993329
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2060,unitless,1.9152106917023
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2060,unitless,2.01717579757141
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2060,unitless,0.973195354441966
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2060,unitless,1.22960295802957
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2060,unitless,1.38119487718934
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2060,unitless,1.01969753901515
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2060,unitless,1.06031135799957
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2060,unitless,1.38400543100132
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2060,unitless,1.30816855421218
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2060,unitless,2.35503475345784
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2060,unitless,1.25493349301756
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2070,unitless,1.30915978331788
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2070,unitless,2.39463826173876
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2070,unitless,1.25552050305534
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2070,unitless,1.25853232245774
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2070,unitless,1.65208573764754
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2070,unitless,1.9206950037388
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2070,unitless,1.13288834412095
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2070,unitless,0.997454978120525
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2070,unitless,1.95988363066567
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2070,unitless,0.98973225662933
