*file,reg,variable,year,val
SSP1p_20W_BIOD2,FSU,ESHI,2010,0.818819758
SSP1p_20W_BIOD2,EUR,ESHI,2010,1.025012761
SSP1p_20W_BIOD2,MEN,ESHI,2010,0.987421171
SSP1p_20W_BIOD2,SSA,ESHI,2010,0.981542635
SSP1p_20W_BIOD2,CHN,ESHI,2010,1.02770408
SSP1p_20W_BIOD2,IND,ESHI,2010,0.971398593
SSP1p_20W_BIOD2,SEA,ESHI,2010,1.001777505
SSP1p_20W_BIOD2,OAS,ESHI,2010,0.988389505
SSP1p_20W_BIOD2,ANZ,ESHI,2010,1.000325442
SSP1p_20W_BIOD2,NAM,ESHI,2010,1.065867306
SSP1p_20W_BIOD2,OAM,ESHI,2010,0.997211733
SSP1p_20W_BIOD2,AME,ESHI,2010,0.981352893
SSP1p_20W_BIOD2,SAS,ESHI,2010,1.002381899
SSP1p_20W_BIOD2,WLD,ESHI,2010,0.989001855
SSP1p_20W_BIOD2,EUE,ESHI,2010,1.027011695
SSP1p_20W_BIOD2,CAN,RLI,2010,0.960655738
SSP1p_20W_BIOD2,USA,RLI,2010,0.90965251
SSP1p_20W_BIOD2,BRA,RLI,2010,0.979148936
SSP1p_20W_BIOD2,OSA,RLI,2010,0.964987406
SSP1p_20W_BIOD2,FSU,RLI,2010,0.755852843
SSP1p_20W_BIOD2,EUR,RLI,2010,0.926388889
SSP1p_20W_BIOD2,MEN,RLI,2010,0.881545064
SSP1p_20W_BIOD2,SSA,RLI,2010,0.955195682
SSP1p_20W_BIOD2,CHN,RLI,2010,0.953284672
SSP1p_20W_BIOD2,IND,RLI,2010,0.954545455
SSP1p_20W_BIOD2,SEA,RLI,2010,0.969230769
SSP1p_20W_BIOD2,OAS,RLI,2010,0.935416667
SSP1p_20W_BIOD2,ANZ,RLI,2010,0.917837838
SSP1p_20W_BIOD2,NAM,RLI,2010,0.915589354
SSP1p_20W_BIOD2,OAM,RLI,2010,0.968992248
SSP1p_20W_BIOD2,AME,RLI,2010,0.946770601
SSP1p_20W_BIOD2,SAS,RLI,2010,0.96019536
SSP1p_20W_BIOD2,WLD,RLI,2010,0.951319029
SSP1p_20W_BIOD2,EUE,RLI,2010,0.930935252
SSP1p_20W_BIOD2,CAN,NSpeciesExtinctAtFirstYear,2010,4
SSP1p_20W_BIOD2,USA,NSpeciesExtinctAtFirstYear,2010,14
SSP1p_20W_BIOD2,BRA,NSpeciesExtinctAtFirstYear,2010,6
SSP1p_20W_BIOD2,OSA,NSpeciesExtinctAtFirstYear,2010,24
SSP1p_20W_BIOD2,FSU,NSpeciesExtinctAtFirstYear,2010,30
SSP1p_20W_BIOD2,EUR,NSpeciesExtinctAtFirstYear,2010,8
SSP1p_20W_BIOD2,MEN,NSpeciesExtinctAtFirstYear,2010,27
SSP1p_20W_BIOD2,SSA,NSpeciesExtinctAtFirstYear,2010,25
SSP1p_20W_BIOD2,CHN,NSpeciesExtinctAtFirstYear,2010,15
SSP1p_20W_BIOD2,IND,NSpeciesExtinctAtFirstYear,2010,5
SSP1p_20W_BIOD2,SEA,NSpeciesExtinctAtFirstYear,2010,8
SSP1p_20W_BIOD2,OAS,NSpeciesExtinctAtFirstYear,2010,7
SSP1p_20W_BIOD2,ANZ,NSpeciesExtinctAtFirstYear,2010,13
SSP1p_20W_BIOD2,NAM,NSpeciesExtinctAtFirstYear,2010,14
SSP1p_20W_BIOD2,OAM,NSpeciesExtinctAtFirstYear,2010,24
SSP1p_20W_BIOD2,AME,NSpeciesExtinctAtFirstYear,2010,39
SSP1p_20W_BIOD2,SAS,NSpeciesExtinctAtFirstYear,2010,23
SSP1p_20W_BIOD2,WLD,NSpeciesExtinctAtFirstYear,2010,110
SSP1p_20W_BIOD2,EUE,NSpeciesExtinctAtFirstYear,2010,7
SSP1p_20W_BIOD2,CAN,NPotSpeciesInRegion,2010,122
SSP1p_20W_BIOD2,USA,NPotSpeciesInRegion,2010,259
SSP1p_20W_BIOD2,BRA,NPotSpeciesInRegion,2010,470
SSP1p_20W_BIOD2,OSA,NPotSpeciesInRegion,2010,794
SSP1p_20W_BIOD2,FSU,NPotSpeciesInRegion,2010,299
SSP1p_20W_BIOD2,EUR,NPotSpeciesInRegion,2010,144
SSP1p_20W_BIOD2,MEN,NPotSpeciesInRegion,2010,233
SSP1p_20W_BIOD2,SSA,NPotSpeciesInRegion,2010,741
SSP1p_20W_BIOD2,CHN,NPotSpeciesInRegion,2010,411
